RowNum,ID,county,Year,Variable,pop,lpop,state,area,nT,nTd,density,Ldensity,Year2,elev,elevS,elevK,elevCV
26,1,17115,1994,pop1994,116569,5.066583071,IL,1.60E-07,0,0,7.30E+11,39.40994831,1994,202.4126881,11.6065163,2.298505264,0.057340854
27,1,17115,1995,pop1995,116150,5.065019214,IL,1.60E-07,0,0,7.28E+11,39.40475329,1995,202.4126881,11.6065163,2.298505264,0.057340854
28,1,17115,1996,pop1996,115232,5.0615731,IL,1.60E-07,2,2,7.22E+11,39.39330555,1996,202.4126881,11.6065163,2.298505264,0.057340854
29,1,17115,1997,pop1997,114160,5.05751396,IL,1.60E-07,0,0,7.15E+11,39.37982138,1997,202.4126881,11.6065163,2.298505264,0.057340854
30,1,17115,1998,pop1998,113675,5.055664963,IL,1.60E-07,0,0,7.12E+11,39.37367914,1998,202.4126881,11.6065163,2.298505264,0.057340854
31,1,17115,1999,pop1999,113219,5.053919315,IL,1.60E-07,0,0,7.09E+11,39.36788023,1999,202.4126881,11.6065163,2.298505264,0.057340854
32,1,17115,2000,pop2000,114476,5.058714446,IL,1.60E-07,1,1,7.17E+11,39.38380931,2000,202.4126881,11.6065163,2.298505264,0.057340854
33,1,17115,2001,pop2001,113307,5.054256741,IL,1.60E-07,0,0,7.10E+11,39.36900113,2001,202.4126881,11.6065163,2.298505264,0.057340854
34,1,17115,2002,pop2002,111980,5.049140463,IL,1.60E-07,0,0,7.02E+11,39.35200523,2002,202.4126881,11.6065163,2.298505264,0.057340854
35,1,17115,2003,pop2003,110656,5.043974967,IL,1.60E-07,0,0,6.93E+11,39.33484582,2003,202.4126881,11.6065163,2.298505264,0.057340854
36,1,17115,2004,pop2004,109987,5.041341356,IL,1.60E-07,0,0,6.89E+11,39.32609715,2004,202.4126881,11.6065163,2.298505264,0.057340854
37,1,17115,2005,pop2005,109582,5.039739223,IL,1.60E-07,0,0,6.87E+11,39.32077498,2005,202.4126881,11.6065163,2.298505264,0.057340854
38,1,17115,2006,pop2006,109025,5.037526095,IL,1.60E-07,5,3,6.83E+11,39.31342313,2006,202.4126881,11.6065163,2.298505264,0.057340854
39,1,17115,2008,pop2008,108326,5.034732707,IL,1.60E-07,0,0,6.79E+11,39.30414369,2008,202.4126881,11.6065163,2.298505264,0.057340854
40,1,17115,2009,pop2009,108204,5.034243316,IL,1.60E-07,0,0,6.78E+11,39.30251797,2009,202.4126881,11.6065163,2.298505264,0.057340854
41,1,17115,2010,pop2010,110734,5.044280988,IL,1.60E-07,0,0,6.94E+11,39.3358624,2010,202.4126881,11.6065163,2.298505264,0.057340854
42,1,17115,2011,pop2011,110616,5.04381795,IL,1.60E-07,2,1,6.93E+11,39.33432422,2011,202.4126881,11.6065163,2.298505264,0.057340854
43,1,17115,2012,pop2012,110122,5.04187409,IL,1.60E-07,0,0,6.90E+11,39.32786686,2012,202.4126881,11.6065163,2.298505264,0.057340854
44,1,17115,2013,pop2013,110122,5.04187409,IL,1.60E-07,1,1,6.90E+11,39.32786686,2013,202.4126881,11.6065163,2.298505264,0.057340854
45,2,17137,1970,pop1970,36174,4.558396534,IL,1.56E-07,0,0,2.32E+11,37.75579285,1970,186.4528092,17.33937771,5.260913156,0.092996066
46,2,17137,1971,pop1971,37200,4.57054294,IL,1.56E-07,1,1,2.39E+11,37.79614234,1971,186.4528092,17.33937771,5.260913156,0.092996066
47,2,17137,1972,pop1972,37300,4.571708832,IL,1.56E-07,0,0,2.39E+11,37.80001535,1972,186.4528092,17.33937771,5.260913156,0.092996066
48,2,17137,1973,pop1973,37400,4.572871602,IL,1.56E-07,1,1,2.40E+11,37.80387799,1973,186.4528092,17.33937771,5.260913156,0.092996066
49,2,17137,1974,pop1974,37600,4.575187845,IL,1.56E-07,1,1,2.41E+11,37.81157238,1974,186.4528092,17.33937771,5.260913156,0.092996066
50,2,17137,1975,pop1975,37300,4.571708832,IL,1.56E-07,0,0,2.39E+11,37.80001535,1975,186.4528092,17.33937771,5.260913156,0.092996066
51,2,17137,1976,pop1976,37500,4.574031268,IL,1.56E-07,0,0,2.41E+11,37.80773031,1976,186.4528092,17.33937771,5.260913156,0.092996066
52,2,17137,1977,pop1977,37700,4.57634135,IL,1.56E-07,0,0,2.42E+11,37.81540424,1977,186.4528092,17.33937771,5.260913156,0.092996066
53,2,17137,1978,pop1978,37800,4.5774918,IL,1.56E-07,0,0,2.43E+11,37.81922595,1978,186.4528092,17.33937771,5.260913156,0.092996066
54,2,17137,1979,pop1979,37300,4.571708832,IL,1.56E-07,0,0,2.39E+11,37.80001535,1979,186.4528092,17.33937771,5.260913156,0.092996066
55,2,17137,1980,pop1980,37502,4.574054429,IL,1.56E-07,0,0,2.41E+11,37.80780725,1980,186.4528092,17.33937771,5.260913156,0.092996066
56,2,17137,1981,pop1981,37625,4.575476509,IL,1.56E-07,0,0,2.41E+11,37.8125313,1981,186.4528092,17.33937771,5.260913156,0.092996066
57,2,17137,1982,pop1982,37158,4.57005233,IL,1.56E-07,0,0,2.38E+11,37.79451257,1982,186.4528092,17.33937771,5.260913156,0.092996066
58,2,17137,1983,pop1983,37307,4.571790327,IL,1.56E-07,0,0,2.39E+11,37.80028607,1983,186.4528092,17.33937771,5.260913156,0.092996066
59,2,17137,1984,pop1984,36976,4.567919928,IL,1.56E-07,0,0,2.37E+11,37.78742888,1984,186.4528092,17.33937771,5.260913156,0.092996066
60,2,17137,1985,pop1985,37338,4.572151051,IL,1.56E-07,0,0,2.40E+11,37.80148437,1985,186.4528092,17.33937771,5.260913156,0.092996066
61,2,17137,1986,pop1986,37121,4.569619667,IL,1.56E-07,0,0,2.38E+11,37.79307529,1986,186.4528092,17.33937771,5.260913156,0.092996066
62,2,17137,1987,pop1987,36796,4.56580061,IL,1.56E-07,0,0,2.36E+11,37.78038866,1987,186.4528092,17.33937771,5.260913156,0.092996066
63,2,17137,1988,pop1988,36505,4.562352353,IL,1.56E-07,0,0,2.34E+11,37.7689338,1988,186.4528092,17.33937771,5.260913156,0.092996066
64,2,17137,1989,pop1989,36518,4.562506984,IL,1.56E-07,0,0,2.34E+11,37.76944747,1989,186.4528092,17.33937771,5.260913156,0.092996066
65,2,17137,1990,pop1990,36406,4.561172965,IL,1.56E-07,0,0,2.34E+11,37.76501595,1990,186.4528092,17.33937771,5.260913156,0.092996066
67,2,17137,1991,pop1991,36399,4.561089452,IL,1.56E-07,0,0,2.34E+11,37.76473853,1991,186.4528092,17.33937771,5.260913156,0.092996066
68,2,17137,1992,pop1992,36297,4.559870731,IL,1.56E-07,0,0,2.33E+11,37.76069003,1992,186.4528092,17.33937771,5.260913156,0.092996066
69,2,17137,1993,pop1993,36517,4.562495092,IL,1.56E-07,0,0,2.34E+11,37.76940796,1993,186.4528092,17.33937771,5.260913156,0.092996066
70,2,17137,1994,pop1994,36463,4.561852397,IL,1.56E-07,0,0,2.34E+11,37.76727298,1994,186.4528092,17.33937771,5.260913156,0.092996066
71,2,17137,1995,pop1995,36376,4.560814941,IL,1.56E-07,0,0,2.33E+11,37.76382663,1995,186.4528092,17.33937771,5.260913156,0.092996066
72,2,17137,1996,pop1996,36260,4.5594278,IL,1.56E-07,1,1,2.33E+11,37.75921864,1996,186.4528092,17.33937771,5.260913156,0.092996066
73,2,17137,1997,pop1997,35807,4.553967936,IL,1.56E-07,0,0,2.30E+11,37.74108137,1997,186.4528092,17.33937771,5.260913156,0.092996066
74,2,17137,1998,pop1998,35412,4.549150456,IL,1.56E-07,0,0,2.27E+11,37.72507804,1998,186.4528092,17.33937771,5.260913156,0.092996066
75,2,17137,1999,pop1999,35158,4.546024162,IL,1.56E-07,2,1,2.26E+11,37.71469272,1999,186.4528092,17.33937771,5.260913156,0.092996066
76,2,17137,2000,pop2000,36617,4.56368276,IL,1.56E-07,1,1,2.35E+11,37.77335331,2000,186.4528092,17.33937771,5.260913156,0.092996066
77,2,17137,2001,pop2001,36293,4.559822869,IL,1.56E-07,0,0,2.33E+11,37.76053103,2001,186.4528092,17.33937771,5.260913156,0.092996066
78,2,17137,2002,pop2002,36064,4.557073894,IL,1.56E-07,0,0,2.31E+11,37.75139914,2002,186.4528092,17.33937771,5.260913156,0.092996066
79,2,17137,2003,pop2003,35958,4.555795528,IL,1.56E-07,0,0,2.31E+11,37.7471525,2003,186.4528092,17.33937771,5.260913156,0.092996066
80,2,17137,2004,pop2004,35978,4.556037017,IL,1.56E-07,1,1,2.31E+11,37.74795471,2004,186.4528092,17.33937771,5.260913156,0.092996066
81,2,17137,2005,pop2005,35662,4.552205696,IL,1.56E-07,0,0,2.29E+11,37.73522733,2005,186.4528092,17.33937771,5.260913156,0.092996066
82,2,17137,2006,pop2006,35435,4.549432437,IL,1.56E-07,3,1,2.27E+11,37.72601477,2006,186.4528092,17.33937771,5.260913156,0.092996066
83,2,17137,2008,pop2008,35147,4.545888261,IL,1.56E-07,1,1,2.25E+11,37.71424127,2008,186.4528092,17.33937771,5.260913156,0.092996066
84,2,17137,2009,pop2009,34897,4.542788093,IL,1.56E-07,2,1,2.24E+11,37.70394273,2009,186.4528092,17.33937771,5.260913156,0.092996066
85,2,17137,2010,pop2010,35532,4.550619653,IL,1.56E-07,0,0,2.28E+11,37.72995861,2010,186.4528092,17.33937771,5.260913156,0.092996066
86,2,17137,2011,pop2011,35551,4.550851821,IL,1.56E-07,0,0,2.28E+11,37.73072986,2011,186.4528092,17.33937771,5.260913156,0.092996066
87,2,17137,2012,pop2012,35272,4.547430086,IL,1.56E-07,1,1,2.26E+11,37.7193631,2012,186.4528092,17.33937771,5.260913156,0.092996066
88,2,17137,2013,pop2013,35272,4.547430086,IL,1.56E-07,0,0,2.26E+11,37.7193631,2013,186.4528092,17.33937771,5.260913156,0.092996066
89,3,17147,1970,pop1970,15509,4.190583796,IL,1.20E-07,0,0,1.29E+11,36.90873534,1970,210.9059269,7.694797467,5.103674597,0.036484501
90,3,17147,1971,pop1971,15700,4.195899652,IL,1.20E-07,0,0,1.31E+11,36.92639423,1971,210.9059269,7.694797467,5.103674597,0.036484501
91,3,17147,1972,pop1972,15900,4.201397124,IL,1.20E-07,0,0,1.32E+11,36.94465644,1972,210.9059269,7.694797467,5.103674597,0.036484501
92,3,17147,1973,pop1973,16000,4.204119983,IL,1.20E-07,0,0,1.33E+11,36.95370158,1973,210.9059269,7.694797467,5.103674597,0.036484501
93,3,17147,1974,pop1974,16000,4.204119983,IL,1.20E-07,1,1,1.33E+11,36.95370158,1974,210.9059269,7.694797467,5.103674597,0.036484501
94,3,17147,1975,pop1975,16200,4.209515015,IL,1.20E-07,0,0,1.35E+11,36.97162349,1975,210.9059269,7.694797467,5.103674597,0.036484501
95,3,17147,1976,pop1976,16400,4.214843848,IL,1.20E-07,1,1,1.36E+11,36.98932549,1976,210.9059269,7.694797467,5.103674597,0.036484501
96,3,17147,1977,pop1977,16400,4.214843848,IL,1.20E-07,0,0,1.36E+11,36.98932549,1977,210.9059269,7.694797467,5.103674597,0.036484501
97,3,17147,1978,pop1978,16500,4.217483944,IL,1.20E-07,0,0,1.37E+11,36.9980957,1978,210.9059269,7.694797467,5.103674597,0.036484501
98,3,17147,1979,pop1979,16500,4.217483944,IL,1.20E-07,0,0,1.37E+11,36.9980957,1979,210.9059269,7.694797467,5.103674597,0.036484501
99,3,17147,1980,pop1980,16581,4.219610719,IL,1.20E-07,0,0,1.38E+11,37.00516069,1980,210.9059269,7.694797467,5.103674597,0.036484501
100,3,17147,1981,pop1981,16701,4.222742476,IL,1.20E-07,2,1,1.39E+11,37.01556416,1981,210.9059269,7.694797467,5.103674597,0.036484501
101,3,17147,1982,pop1982,16493,4.217299659,IL,1.20E-07,0,0,1.37E+11,36.99748352,1982,210.9059269,7.694797467,5.103674597,0.036484501
102,3,17147,1983,pop1983,16404,4.214949761,IL,1.20E-07,0,0,1.36E+11,36.98967732,1983,210.9059269,7.694797467,5.103674597,0.036484501
103,3,17147,1984,pop1984,16305,4.212320803,IL,1.20E-07,0,0,1.36E+11,36.98094411,1984,210.9059269,7.694797467,5.103674597,0.036484501
104,3,17147,1985,pop1985,16192,4.209300495,IL,1.20E-07,1,1,1.35E+11,36.97091087,1985,210.9059269,7.694797467,5.103674597,0.036484501
105,3,17147,1986,pop1986,15978,4.203522417,IL,1.20E-07,1,1,1.33E+11,36.95171651,1986,210.9059269,7.694797467,5.103674597,0.036484501
106,3,17147,1987,pop1987,15830,4.199480915,IL,1.20E-07,1,1,1.32E+11,36.93829093,1987,210.9059269,7.694797467,5.103674597,0.036484501
107,3,17147,1988,pop1988,15777,4.198024426,IL,1.20E-07,0,0,1.31E+11,36.93345258,1988,210.9059269,7.694797467,5.103674597,0.036484501
108,3,17147,1989,pop1989,15571,4.192316505,IL,1.20E-07,0,0,1.30E+11,36.91449127,1989,210.9059269,7.694797467,5.103674597,0.036484501
109,3,17147,1990,pop1990,15555,4.191870015,IL,1.20E-07,0,0,1.29E+11,36.91300807,1990,210.9059269,7.694797467,5.103674597,0.036484501
111,3,17147,1991,pop1991,15629,4.193931191,IL,1.20E-07,0,0,1.30E+11,36.91985515,1991,210.9059269,7.694797467,5.103674597,0.036484501
112,3,17147,1992,pop1992,15699,4.195871989,IL,1.20E-07,0,0,1.31E+11,36.92630234,1992,210.9059269,7.694797467,5.103674597,0.036484501
113,3,17147,1993,pop1993,15992,4.203902781,IL,1.20E-07,0,0,1.33E+11,36.95298005,1993,210.9059269,7.694797467,5.103674597,0.036484501
114,3,17147,1994,pop1994,15999,4.204092838,IL,1.20E-07,0,0,1.33E+11,36.95361141,1994,210.9059269,7.694797467,5.103674597,0.036484501
115,3,17147,1995,pop1995,16155,4.208306962,IL,1.20E-07,0,0,1.34E+11,36.96761042,1995,210.9059269,7.694797467,5.103674597,0.036484501
116,3,17147,1996,pop1996,16285,4.211787763,IL,1.20E-07,1,1,1.35E+11,36.97917339,1996,210.9059269,7.694797467,5.103674597,0.036484501
117,3,17147,1997,pop1997,16478,4.216904499,IL,1.20E-07,0,0,1.37E+11,36.99617082,1997,210.9059269,7.694797467,5.103674597,0.036484501
118,3,17147,1998,pop1998,16430,4.215637563,IL,1.20E-07,0,0,1.37E+11,36.99196215,1998,210.9059269,7.694797467,5.103674597,0.036484501
119,3,17147,1999,pop1999,16623,4.220709405,IL,1.20E-07,1,1,1.38E+11,37.00881045,1999,210.9059269,7.694797467,5.103674597,0.036484501
120,3,17147,2000,pop2000,16371,4.214075209,IL,1.20E-07,0,0,1.36E+11,36.98677212,2000,210.9059269,7.694797467,5.103674597,0.036484501
121,3,17147,2001,pop2001,16324,4.212826586,IL,1.20E-07,1,1,1.36E+11,36.98262429,2001,210.9059269,7.694797467,5.103674597,0.036484501
122,3,17147,2002,pop2002,16162,4.208495102,IL,1.20E-07,0,0,1.34E+11,36.96823541,2002,210.9059269,7.694797467,5.103674597,0.036484501
123,3,17147,2003,pop2003,16287,4.211841096,IL,1.20E-07,0,0,1.35E+11,36.97935056,2003,210.9059269,7.694797467,5.103674597,0.036484501
124,3,17147,2004,pop2004,16347,4.213438063,IL,1.20E-07,0,0,1.36E+11,36.98465557,2004,210.9059269,7.694797467,5.103674597,0.036484501
125,3,17147,2005,pop2005,16495,4.21735232,IL,1.20E-07,1,1,1.37E+11,36.99765845,2005,210.9059269,7.694797467,5.103674597,0.036484501
126,3,17147,2006,pop2006,16500,4.217483944,IL,1.20E-07,0,0,1.37E+11,36.9980957,2006,210.9059269,7.694797467,5.103674597,0.036484501
127,3,17147,2008,pop2008,16493,4.217299659,IL,1.20E-07,0,0,1.37E+11,36.99748352,2008,210.9059269,7.694797467,5.103674597,0.036484501
128,3,17147,2009,pop2009,16550,4.218797998,IL,1.20E-07,0,0,1.38E+11,37.00246089,2009,210.9059269,7.694797467,5.103674597,0.036484501
129,3,17147,2010,pop2010,16722,4.223288219,IL,1.20E-07,0,0,1.39E+11,37.01737708,2010,210.9059269,7.694797467,5.103674597,0.036484501
130,3,17147,2011,pop2011,16681,4.222222082,IL,1.20E-07,0,0,1.39E+11,37.01383545,2011,210.9059269,7.694797467,5.103674597,0.036484501
131,3,17147,2012,pop2012,16504,4.217589215,IL,1.20E-07,0,0,1.37E+11,36.9984454,2012,210.9059269,7.694797467,5.103674597,0.036484501
132,3,17147,2013,pop2013,16504,4.217589215,IL,1.20E-07,0,0,1.37E+11,36.9984454,2013,210.9059269,7.694797467,5.103674597,0.036484501
133,4,17075,1970,pop1970,33532,4.525459457,IL,3.09E-07,0,0,1.09E+11,36.65967612,1970,201.9871723,9.515385899,4.867887256,0.047108862
134,4,17075,1971,pop1971,34000,4.531478917,IL,3.09E-07,0,0,1.10E+11,36.67967234,1971,201.9871723,9.515385899,4.867887256,0.047108862
135,4,17075,1972,pop1972,34100,4.532754379,IL,3.09E-07,0,0,1.10E+11,36.68390933,1972,201.9871723,9.515385899,4.867887256,0.047108862
136,4,17075,1973,pop1973,34500,4.537819095,IL,3.09E-07,2,2,1.12E+11,36.70073395,1973,201.9871723,9.515385899,4.867887256,0.047108862
137,4,17075,1974,pop1974,34000,4.531478917,IL,3.09E-07,0,0,1.10E+11,36.67967234,1974,201.9871723,9.515385899,4.867887256,0.047108862
138,4,17075,1975,pop1975,33900,4.530199698,IL,3.09E-07,1,1,1.10E+11,36.67542286,1975,201.9871723,9.515385899,4.867887256,0.047108862
139,4,17075,1976,pop1976,34100,4.532754379,IL,3.09E-07,3,2,1.10E+11,36.68390933,1976,201.9871723,9.515385899,4.867887256,0.047108862
140,4,17075,1977,pop1977,33800,4.5289167,IL,3.09E-07,0,0,1.09E+11,36.67116084,1977,201.9871723,9.515385899,4.867887256,0.047108862
141,4,17075,1978,pop1978,33700,4.527629901,IL,3.09E-07,0,0,1.09E+11,36.66688618,1978,201.9871723,9.515385899,4.867887256,0.047108862
142,4,17075,1979,pop1979,33400,4.523746467,IL,3.09E-07,1,1,1.08E+11,36.65398569,1979,201.9871723,9.515385899,4.867887256,0.047108862
143,4,17075,1980,pop1980,32976,4.518197974,IL,3.09E-07,0,0,1.07E+11,36.635554,1980,201.9871723,9.515385899,4.867887256,0.047108862
144,4,17075,1981,pop1981,33481,4.524798421,IL,3.09E-07,0,0,1.08E+11,36.65748021,1981,201.9871723,9.515385899,4.867887256,0.047108862
145,4,17075,1982,pop1982,33081,4.519578629,IL,3.09E-07,0,0,1.07E+11,36.64014044,1982,201.9871723,9.515385899,4.867887256,0.047108862
146,4,17075,1983,pop1983,32760,4.515343893,IL,3.09E-07,0,0,1.06E+11,36.62607295,1983,201.9871723,9.515385899,4.867887256,0.047108862
147,4,17075,1984,pop1984,32541,4.512430895,IL,3.09E-07,1,1,1.05E+11,36.61639618,1984,201.9871723,9.515385899,4.867887256,0.047108862
148,4,17075,1985,pop1985,32156,4.50726202,IL,3.09E-07,0,0,1.04E+11,36.59922554,1985,201.9871723,9.515385899,4.867887256,0.047108862
149,4,17075,1986,pop1986,31765,4.50194886,IL,3.09E-07,0,0,1.03E+11,36.58157561,1986,201.9871723,9.515385899,4.867887256,0.047108862
150,4,17075,1987,pop1987,31595,4.49961836,IL,3.09E-07,1,1,1.02E+11,36.57383385,1987,201.9871723,9.515385899,4.867887256,0.047108862
151,4,17075,1988,pop1988,31209,4.494279853,IL,3.09E-07,0,0,1.01E+11,36.55609972,1988,201.9871723,9.515385899,4.867887256,0.047108862
152,4,17075,1989,pop1989,30997,4.491319663,IL,3.09E-07,0,0,1.00E+11,36.54626618,1989,201.9871723,9.515385899,4.867887256,0.047108862
154,4,17075,1990,pop1990,30777,4.488226285,IL,3.09E-07,2,2,99638910834,36.5359902,1990,201.9871723,9.515385899,4.867887256,0.047108862
155,4,17075,1991,pop1991,30883,4.489719481,IL,3.09E-07,1,1,99982080232,36.54095049,1991,201.9871723,9.515385899,4.867887256,0.047108862
156,4,17075,1992,pop1992,31133,4.493220972,IL,3.09E-07,2,1,1.01E+11,36.55258219,1992,201.9871723,9.515385899,4.867887256,0.047108862
157,4,17075,1993,pop1993,31336,4.496043559,IL,3.09E-07,0,0,1.01E+11,36.56195862,1993,201.9871723,9.515385899,4.867887256,0.047108862
158,4,17075,1994,pop1994,31374,4.496569892,IL,3.09E-07,1,1,1.02E+11,36.56370707,1994,201.9871723,9.515385899,4.867887256,0.047108862
159,4,17075,1995,pop1995,31336,4.496043559,IL,3.09E-07,2,2,1.01E+11,36.56195862,1995,201.9871723,9.515385899,4.867887256,0.047108862
160,4,17075,1996,pop1996,31477,4.497993334,IL,3.09E-07,0,0,1.02E+11,36.56843564,1996,201.9871723,9.515385899,4.867887256,0.047108862
161,4,17075,1997,pop1997,31407,4.497026455,IL,3.09E-07,0,0,1.02E+11,36.56522373,1997,201.9871723,9.515385899,4.867887256,0.047108862
162,4,17075,1998,pop1998,31274,4.495183432,IL,3.09E-07,0,0,1.01E+11,36.55910134,1998,201.9871723,9.515385899,4.867887256,0.047108862
163,4,17075,1999,pop1999,31196,4.494098912,IL,3.09E-07,0,0,1.01E+11,36.55549865,1999,201.9871723,9.515385899,4.867887256,0.047108862
164,4,17075,2000,pop2000,31320,4.495821753,IL,3.09E-07,0,0,1.01E+11,36.5612218,2000,201.9871723,9.515385899,4.867887256,0.047108862
165,4,17075,2001,pop2001,30938,4.490492235,IL,3.09E-07,0,0,1.00E+11,36.54351753,2001,201.9871723,9.515385899,4.867887256,0.047108862
166,4,17075,2002,pop2002,30698,4.487110082,IL,3.09E-07,0,0,99383152510,36.53228225,2002,201.9871723,9.515385899,4.867887256,0.047108862
167,4,17075,2003,pop2003,30539,4.484854812,IL,3.09E-07,0,0,98868398414,36.52479041,2003,201.9871723,9.515385899,4.867887256,0.047108862
168,4,17075,2004,pop2004,30318,4.481700549,IL,3.09E-07,0,0,98152922594,36.51431217,2004,201.9871723,9.515385899,4.867887256,0.047108862
169,4,17075,2005,pop2005,30331,4.481886729,IL,3.09E-07,0,0,98195009407,36.51493065,2005,201.9871723,9.515385899,4.867887256,0.047108862
170,4,17075,2006,pop2006,30063,4.478032317,IL,3.09E-07,0,0,97327373572,36.50212657,2006,201.9871723,9.515385899,4.867887256,0.047108862
171,4,17075,2008,pop2008,29983,4.476875085,IL,3.09E-07,0,0,97068377800,36.49828233,2008,201.9871723,9.515385899,4.867887256,0.047108862
172,4,17075,2009,pop2009,29690,4.472610198,IL,3.09E-07,1,1,96119805786,36.48411468,2009,201.9871723,9.515385899,4.867887256,0.047108862
173,4,17075,2010,pop2010,29636,4.471819586,IL,3.09E-07,0,0,95944983640,36.48148833,2010,201.9871723,9.515385899,4.867887256,0.047108862
174,4,17075,2011,pop2011,29477,4.469483281,IL,3.09E-07,0,0,95430229544,36.47372729,2011,201.9871723,9.515385899,4.867887256,0.047108862
175,4,17075,2012,pop2012,29240,4.465977368,IL,3.09E-07,1,1,94662954570,36.4620809,2012,201.9871723,9.515385899,4.867887256,0.047108862
176,4,17075,2013,pop2013,29240,4.465977368,IL,3.09E-07,1,1,94662954570,36.4620809,2013,201.9871723,9.515385899,4.867887256,0.047108862
177,5,17039,1970,pop1970,16975,4.229809783,IL,1.11E-07,0,0,1.53E+11,37.15621523,1970,219.0638465,11.17552823,3.82167147,0.051014937
178,5,17039,1971,pop1971,17000,4.230448921,IL,1.11E-07,0,0,1.53E+11,37.1583384,1971,219.0638465,11.17552823,3.82167147,0.051014937
179,5,17039,1972,pop1972,17400,4.240549248,IL,1.11E-07,0,0,1.57E+11,37.19189096,1972,219.0638465,11.17552823,3.82167147,0.051014937
180,5,17039,1973,pop1973,17600,4.245512668,IL,1.11E-07,0,0,1.59E+11,37.20837909,1973,219.0638465,11.17552823,3.82167147,0.051014937
181,5,17039,1974,pop1974,17400,4.240549248,IL,1.11E-07,0,0,1.57E+11,37.19189096,1974,219.0638465,11.17552823,3.82167147,0.051014937
182,5,17039,1975,pop1975,17600,4.245512668,IL,1.11E-07,0,0,1.59E+11,37.20837909,1975,219.0638465,11.17552823,3.82167147,0.051014937
